AGER_TYP;ALTERSKATEGORIE_GROB;ANREDE_KZ;CJT_GESAMTTYP;FINANZ_MINIMALIST;FINANZ_SPARER;FINANZ_VORSORGER;FINANZ_ANLEGER;FINANZ_UNAUFFAELLIGER;FINANZ_HAUSBAUER;FINANZTYP;GEBURTSJAHR;GFK_URLAUBERTYP;GREEN_AVANTGARDE;HEALTH_TYP;LP_LEBENSPHASE_FEIN;LP_LEBENSPHASE_GROB;LP_FAMILIE_FEIN;LP_FAMILIE_GROB;LP_STATUS_FEIN;LP_STATUS_GROB;NATIONALITAET_KZ;PRAEGENDE_JUGENDJAHRE;RETOURTYP_BK_S;SEMIO_SOZ;SEMIO_FAM;SEMIO_REL;SEMIO_MAT;SEMIO_VERT;SEMIO_LUST;SEMIO_ERL;SEMIO_KULT;SEMIO_RAT;SEMIO_KRIT;SEMIO_DOM;SEMIO_KAEM;SEMIO_PFLICHT;SEMIO_TRADV;SHOPPER_TYP;SOHO_KZ;TITEL_KZ;VERS_TYP;ZABEOTYP;ALTER_HH;ANZ_PERSONEN;ANZ_TITEL;HH_EINKOMMEN_SCORE;KK_KUNDENTYP;W_KEIT_KIND_HH;WOHNDAUER_2008;ANZ_HAUSHALTE_AKTIV;ANZ_HH_TITEL;GEBAEUDETYP;KONSUMNAEHE;MIN_GEBAEUDEJAHR;OST_WEST_KZ;WOHNLAGE;CAMEO_DEUG_2015;CAMEO_DEU_2015;CAMEO_INTL_2015;KBA05_ANTG1;KBA05_ANTG2;KBA05_ANTG3;KBA05_ANTG4;KBA05_BAUMAX;KBA05_GBZ;BALLRAUM;EWDICHTE;INNENSTADT;GEBAEUDETYP_RASTER;KKK;MOBI_REGIO;ONLINE_AFFINITAET;REGIOTYP;KBA13_ANZAHL_PKW;PLZ8_ANTG1;PLZ8_ANTG2;PLZ8_ANTG3;PLZ8_ANTG4;PLZ8_BAUMAX;PLZ8_HHZ;PLZ8_GBZ;ARBEIT;ORTSGR_KLS9;RELAT_AB
2;4;1;5;5;1;5;1;2;2;2;0;4;1;1;20;5;2;2;10;5;1;4;5;6;5;2;6;6;7;3;4;1;3;1;1;2;1;3;0;0;1;3;10;2;0;1;;6;9;1;0;1;5;1992;W;7;1;1A;13;2;2;0;0;0;4;3;2;4;4;1;4;3;1;1201;3;3;1;0;1;5;5;1;2;1
-1;4;1;;5;1;5;1;3;2;2;0;;0;1;;;;;;;1;0;;3;6;2;6;7;5;3;4;1;3;3;2;4;1;3;0;0;1;3;11;3;0;;;0;9;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-1;4;2;2;5;1;5;1;4;4;2;0;3;1;2;13;3;1;1;10;5;1;4;5;2;2;1;3;3;7;7;1;2;7;5;6;4;1;1;0;0;2;3;6;1;0;1;;6;9;1;0;8;1;1992;W;2;5;5D;34;2;2;0;0;0;3;7;4;1;3;3;3;1;7;433;2;3;3;1;3;3;2;3;5;3
1;4;1;2;5;1;5;2;1;2;6;0;10;0;2;0;0;0;0;9;4;1;1;3;6;5;3;4;7;5;3;4;3;3;3;3;3;4;0;0;0;1;1;8;0;0;4;;;9;0;;2;2;1992;W;7;4;4C;24;3;0;0;0;1;4;7;1;7;4;3;4;2;6;755;3;2;1;0;1;3;4;1;3;1
-1;3;1;6;3;1;4;4;5;2;2;1960;2;0;3;31;10;10;5;1;1;1;8;5;4;5;4;6;5;6;4;5;5;3;5;2;5;4;1;0;0;2;1;20;4;0;6;2;2;9;7;0;3;1;1992;W;3;7;7B;41;0;3;2;0;0;3;3;4;4;3;4;3;5;7;513;2;4;2;1;2;3;3;3;5;1
1;3;1;4;5;1;5;1;2;3;5;0;11;1;3;17;5;2;2;7;3;1;4;3;6;4;4;1;7;6;4;6;2;5;5;3;3;4;1;0;0;2;2;11;2;0;1;;6;9;1;0;1;2;1992;W;1;5;5D;34;2;2;1;0;0;3;7;5;8;4;2;3;3;3;1167;2;3;2;1;1;5;5;3;7;5
2;4;1;2;5;1;5;1;1;2;2;1942;10;1;2;20;5;2;2;10;5;1;4;5;4;2;5;1;6;5;3;4;3;3;1;2;2;4;0;0;0;1;1;10;2;0;2;5;6;9;1;0;1;4;1992;W;7;3;3B;23;4;1;0;0;1;4;6;2;5;4;2;4;4;3;1300;3;2;1;0;1;5;5;2;3;2
1;4;1;2;5;1;5;1;2;2;5;1938;8;1;1;20;5;2;2;10;5;1;4;5;6;4;5;6;7;7;3;4;1;3;3;1;1;1;3;0;0;1;3;10;2;0;1;5;6;9;1;0;1;3;1992;W;3;1;1D;15;3;2;0;0;1;4;5;3;5;4;1;4;3;1;481;3;3;1;1;1;3;3;3;4;3
2;4;2;1;2;2;5;1;1;5;5;1914;3;0;2;6;2;1;1;1;1;1;1;5;2;3;1;1;2;7;7;1;3;7;6;6;1;1;3;0;0;2;3;5;1;0;6;4;6;3;74;2;3;1;1994;W;4;9;9E;55;0;0;0;2;5;1;3;6;1;3;;1;2;;428;1;4;2;1;5;5;4;3;8;3
1;3;1;3;5;2;4;1;3;1;2;1959;1;1;3;28;8;8;4;10;5;1;9;2;6;4;4;1;7;4;4;5;2;3;5;3;3;4;0;0;0;2;1;20;3;0;1;4;2;9;1;0;1;5;1997;W;5;1;1D;15;2;2;0;0;0;4;2;5;4;4;2;4;5;6;1106;3;3;1;0;1;5;5;3;6;4
